Month,DayofMonth,DayOfWeek,DepTime,Distance,dep_delayed_15min
91691,7,30,7,1745,227,1
57370,8,27,6,1613,1009,0
44232,4,23,7,601,929,0
36658,1,1,7,1245,1363,0
49072,4,19,2,1132,1522,0
21089,12,12,2,1545,204,0
19276,12,30,5,1737,1652,1
32518,3,6,1,1550,468,0
34979,12,22,4,1022,1723,0
22438,5,4,3,2258,2401,1
28811,7,16,7,1903,1034,0
94160,3,22,2,2305,449,1
87484,5,23,1,1325,224,0
16713,3,19,7,1127,1242,0
63340,6,27,2,823,997,0
71026,10,23,1,1400,342,0
93572,6,24,6,1311,435,1
39240,1,4,2,818,347,0
82320,1,12,4,1455,1235,0
1554,3,20,7,549,332,0
37765,6,26,7,904,991,0
98073,2,28,2,900,1050,0
47838,2,23,3,2150,225,0
80377,7,11,2,1625,589,1
32968,10,11,3,1505,1009,1
42512,3,6,1,1600,997,0
95038,6,8,4,705,1034,0
1508,12,5,1,1531,297,0
80183,9,16,5,811,2248,0
11008,12,3,7,1525,987,0
37873,8,11,5,1143,296,0
1260,4,7,4,1316,405,0
675,2,7,2,1422,646,0
38348,3,7,2,1446,967,0
11757,9,25,1,943,978,0
48594,9,28,3,1000,601,0
47252,7,6,3,1010,860,0
61978,6,14,2,1649,1111,0
33440,2,27,1,1515,287,0
50032,3,16,4,1420,159,0
17825,8,19,6,920,264,0
40086,8,31,4,1540,644,1
34505,11,10,4,1053,594,0
91384,2,7,2,1947,834,0
49442,3,8,2,800,279,0
10264,1,13,4,1625,989,0
9653,2,1,3,740,1065,0
86366,11,25,6,553,810,0
86930,3,11,5,815,834,0
10149,8,10,4,1452,1750,1
69238,9,30,6,701,413,0
45779,11,12,7,1113,853,1
19347,8,7,1,1708,656,0
38007,4,4,2,836,2342,0
78217,1,16,1,1159,826,0
65521,12,17,7,1635,574,1
43938,1,17,1,729,1117,0
32514,7,22,5,800,196,0
66143,2,23,3,2300,143,1
12912,6,23,4,1600,1910,1
61505,3,24,4,1036,419,0
72034,8,17,4,1501,395,0
42337,6,7,2,1334,744,0
70327,5,27,6,830,1754,0
98685,9,18,7,1113,2227,0
77210,7,28,5,1145,391,1
79121,7,28,4,1656,214,0
5051,1,25,2,2030,1400,1
39543,7,26,2,2053,1192,0
33210,10,31,2,1630,264,0
32375,3,2,3,1806,590,0
36545,8,9,2,1140,925,0
95452,1,17,2,1907,300,1
73646,12,7,3,756,349,0
13419,7,20,3,1635,663,0
34087,9,16,5,2025,197,1
13398,12,13,3,1743,391,0
3464,12,9,6,1032,2640,0
14093,6,29,3,2212,1781,1
7739,7,13,4,1835,1416,1
36503,9,26,1,750,230,0
1198,4,24,1,826,600,0
81236,1,7,6,1619,258,0
80926,7,11,2,1316,651,0
24873,1,20,4,2328,589,0
72060,2,13,7,2040,946,0
36506,3,1,2,1742,708,1
7431,10,21,5,1145,414,0
60210,10,20,5,902,895,0
85653,8,22,2,845,969,0
27065,7,9,7,1049,304,0
65251,1,19,3,707,1076,0
83705,7,6,4,1905,306,1
32116,10,26,3,919,157,0
90421,4,22,5,913,2419,1
51646,8,6,7,1443,1156,1
91843,12,31,7,2000,346,1
59669,9,28,4,839,1028,0
8279,5,18,3,1558,135,0
73484,6,30,4,634,1389,0
6435,3,29,2,1836,745,1
1754,3,20,7,1609,2227,0
78184,1,10,1,1652,403,0
68269,12,10,7,1540,429,0
18471,9,13,2,1329,1660,0
43506,4,13,4,1130,935,0
35387,2,26,6,805,188,0
87013,6,15,3,2044,678,1
6764,9,30,6,1339,834,0
71746,12,15,5,1402,274,1
93116,10,7,6,600,1069,0
10241,9,1,5,1049,584,0
65650,11,4,5,1852,328,0
73093,10,31,1,1448,329,0
69209,12,28,3,2312,2401,1
57134,2,15,2,1016,313,0
48852,7,8,6,1758,201,1
89741,1,23,7,945,389,0
98323,6,20,1,1522,163,0
28717,2,1,3,949,347,0
63902,10,6,4,1537,272,1
85665,9,8,5,731,264,1
63007,2,6,1,651,977,0
89457,3,22,3,1257,366,0
87211,10,21,5,720,1733,0
11355,1,11,3,2159,185,1
53508,1,10,2,605,497,0
37913,4,1,6,2207,334,0
72078,3,8,2,1017,155,0
9041,6,30,4,2111,1400,0
32550,7,3,7,721,694,0
98326,6,24,6,1816,1449,0
20839,4,7,5,2002,413,1
13661,9,4,1,2036,396,0
55210,12,30,5,1121,1545,1
68151,11,13,7,1923,899,0
73523,5,23,2,650,588,0
98615,6,26,7,1610,590,0
849,2,14,1,1704,198,0
50631,5,4,3,837,1045,0
9305,10,21,6,2225,373,0
83891,11,21,1,729,845,0
27586,4,21,5,1102,247,0
97298,9,1,5,1551,515,0
79816,9,20,3,1238,1562,0
30495,12,9,5,607,776,0
37578,8,20,6,1720,279,0
72138,8,17,3,1856,227,1
37649,7,26,3,1139,292,0
84191,10,4,2,915,763,0
65920,2,25,6,1307,590,0
53271,7,4,2,2101,223,0
97557,2,24,5,1841,666,0
91100,10,5,3,2247,217,1
97334,10,13,4,1806,429,0
75442,8,12,6,1808,899,1
14624,11,14,2,1458,1092,1
96456,8,1,1,825,712,0
26105,3,14,2,944,1249,0
29232,6,17,6,1342,732,0
12302,6,24,5,914,349,0
52592,10,27,4,1014,745,0
86684,4,15,5,1034,337,0
27258,10,11,3,605,770,0
70904,12,11,1,638,804,0
17874,7,11,1,1141,1438,0
23263,10,24,2,1956,1037,0
10878,7,12,3,702,590,0
60507,2,22,2,2027,599,0
55228,4,15,6,906,551,0
10746,8,17,3,1332,719,0
3440,5,30,1,1444,1173,0
1215,10,25,3,1640,345,1
26276,5,6,6,928,1144,0
84166,9,18,7,1947,2139,1
98208,7,26,3,1617,129,0
92086,11,14,2,1216,679,0
15623,6,15,4,1100,445,0
46688,4,8,6,647,861,0
50144,11,3,5,1716,1069,1
28211,2,7,2,1514,951,0
14696,1,17,1,1316,689,0
6790,8,26,5,918,201,0
18605,3,6,7,1225,1807,0
90854,10,3,2,1920,562,0
24324,8,15,1,1340,972,0
47209,10,25,2,1100,503,0
28609,5,9,2,630,997,0
12987,2,4,5,1950,528,0
9054,7,8,5,1225,919,1
56417,5,26,5,959,589,0
31709,6,10,5,1708,316,0
38970,11,18,5,1903,493,0
20837,2,24,5,1051,248,0
76144,5,26,4,1919,600,1
79611,4,26,3,1930,369,0
49239,11,1,2,1426,134,0
26439,12,30,5,1904,981,1
33823,4,2,7,1244,637,1
99375,9,22,5,1839,2158,0
13349,11,18,6,936,272,0
72944,5,19,4,1250,448,0
48011,4,17,7,931,369,0
80133,7,9,6,1945,276,1
88986,10,24,1,1151,100,0
73914,1,6,4,1855,569,0
53834,8,10,4,1626,212,0
94636,10,3,2,1041,1028,0
44172,2,17,4,1104,1009,0
18369,10,31,2,1948,861,0
51048,9,17,7,807,267,0
60756,8,4,4,2039,594,0
26505,10,2,1,1836,163,0
58289,8,2,2,1346,397,0
71507,5,7,6,1715,712,0
81123,2,26,7,1756,1158,0
18458,2,18,6,708,621,0
37915,9,9,5,750,308,0
59881,12,19,1,746,1671,0
59639,12,12,2,1820,413,0
21691,1,4,3,1453,533,0
93626,1,7,5,2059,237,0
23203,10,1,7,1430,239,0
43120,3,25,5,2218,840,1
18403,8,22,2,759,1045,0
78209,5,17,3,1525,522,0
36764,10,30,1,624,395,0
87345,1,11,2,1930,687,0
86317,4,12,3,1203,1726,0
85770,6,18,7,1015,134,0
13370,11,18,6,602,1192,0
95074,5,31,3,2025,868,1
67570,1,27,4,749,2400,0
58469,3,14,1,1652,1428,0
52186,2,12,6,1056,1183,0
8360,2,1,3,729,1197,0
42182,11,22,3,827,392,0
65944,9,14,4,1717,988,0
24725,10,14,6,1455,2298,0
92789,1,28,5,1837,370,0
96689,11,13,1,2133,461,0
18805,6,5,1,616,373,0
24503,9,15,4,1227,342,0
76913,7,30,7,1830,762,0
35999,7,23,6,2230,109,0
97369,3,10,4,1353,1302,0
59186,10,30,1,929,100,0
23044,12,13,2,1535,337,0
38201,3,4,5,1838,526,0
66,10,3,2,827,967,0
28795,10,29,6,632,602,0
38623,11,7,1,1453,2227,1
18262,2,9,3,1809,334,0
67306,7,12,2,949,431,0
3564,3,12,7,1129,372,0
92407,9,17,7,2204,393,0
67417,12,24,7,949,838,0
80363,9,4,1,2201,589,1
99033,3,12,7,1027,109,1
99168,1,29,6,759,2311,0
36778,12,3,6,1740,383,0
57917,4,25,2,607,383,0
61149,7,7,4,950,313,0
9659,1,2,7,1404,2447,0
1737,1,13,5,2005,935,1
25999,1,7,6,1817,1005,0
60537,2,28,2,2006,707,0
35886,5,19,5,1115,1235,0
82625,11,5,7,1418,836,0
62468,1,2,7,657,1591,0
7804,9,23,5,1657,2036,0
47768,1,6,5,1359,197,0
69241,9,25,7,813,121,0
21975,12,20,2,1729,310,1
48391,2,5,6,1646,2433,0
15815,1,10,1,1605,336,0
79888,4,28,5,1745,1671,0
34900,11,7,2,530,906,0
53080,9,26,2,1806,1249,1
26963,5,15,7,1455,188,0
91200,1,10,1,650,318,0
50342,8,25,5,1653,345,0
81466,5,9,2,1016,862,0
41803,4,3,1,2122,1956,1
95168,10,14,6,736,403,0
63189,10,25,2,959,448,1
43015,3,26,7,2208,802,1
22050,5,16,2,1626,1258,0
47427,3,9,3,1901,334,0
98437,8,15,1,1655,802,0
47383,5,5,5,1430,562,0
81312,6,11,7,1119,634,0
21159,4,14,4,810,409,1
90922,2,15,2,1658,303,1
72042,6,2,4,830,888,0
86668,8,21,7,1811,756,1
28508,3,6,1,902,666,0
6076,8,17,4,1853,230,0
43040,7,7,5,647,211,0
95342,7,17,7,1458,626,0
47424,11,22,2,1131,1020,1
53108,2,2,3,635,134,0
23099,3,21,2,557,862,0
12625,6,8,4,1208,610,0
18247,11,8,3,1443,606,0
65648,3,24,4,947,1399,1
83370,7,13,4,2006,992,0
96847,5,22,7,1659,267,0
31384,5,13,6,710,403,0
62716,10,10,2,1804,814,0
4626,4,20,4,1032,1619,1
67076,5,1,7,2237,1927,0
28607,7,31,1,730,163,0
77241,6,24,6,1710,725,1
71935,1,20,4,1044,413,0
35363,6,25,6,2042,1515,0
17124,12,26,2,706,1137,0
72723,1,18,3,1045,2106,0
25370,2,21,2,1810,151,0
26106,2,6,1,1552,347,0
64720,9,27,3,723,258,0
46188,11,22,2,1541,325,0
86329,4,26,2,1158,1570,0
56312,8,16,3,1835,493,0
54124,5,23,1,628,1723,0
10195,6,6,1,1955,109,0
46706,5,17,2,1602,325,1
18071,7,12,3,1649,843,0
87532,6,2,5,1315,545,0
99314,5,28,7,717,862,0
38776,9,15,5,1906,1005,0
76402,5,7,6,1238,585,0
15462,11,21,2,1354,262,0
99697,3,1,2,700,547,0
92073,9,19,2,633,910,0
69449,9,17,6,1958,299,0
1633,12,24,6,1231,323,1
70252,5,29,7,1456,515,0
58222,4,17,1,931,1005,0
58122,12,5,1,603,162,0
49769,7,31,1,1436,851,0
73259,4,30,7,1505,347,0
78638,5,15,1,1721,1589,0
32816,11,1,2,1221,1399,0
1120,1,10,2,1201,345,0
48596,5,15,1,1357,802,0
48468,12,6,3,1221,671,1
47232,4,3,1,1349,1723,1
66304,1,5,3,2205,1747,1
17515,12,17,6,1932,448,1
69058,4,9,7,1255,802,0
20785,12,16,6,551,209,0
12182,7,20,4,1832,599,1
57258,8,3,4,625,599,1
60065,11,11,5,1440,621,0
88213,2,24,4,1255,1737,0
4520,10,19,4,1947,526,1
51027,5,3,3,1852,700,0
84806,7,3,1,1049,992,0
20638,5,31,2,2026,862,0
56018,3,29,3,2005,808,0
63072,6,8,4,1717,273,0
50308,5,24,3,652,223,0
10283,9,14,4,1240,612,0
63281,1,8,6,131,1449,0
61298,6,29,3,1457,2615,0
55086,5,27,5,2100,696,0
74161,11,1,3,745,957,0
95481,9,22,4,824,295,0
41276,1,12,3,940,614,0
72884,11,2,4,902,237,0
29864,11,28,1,923,56,0
61270,10,22,6,838,317,0
7740,11,24,5,1619,456,0
92003,2,22,3,2233,1747,0
18659,10,21,5,858,783,0
85538,10,7,5,1929,678,1
65390,10,19,4,1856,217,0
2998,5,12,4,1325,282,0
49512,9,16,5,1056,214,0
982,3,16,3,925,852,1
1739,5,24,2,1300,562,0
48406,3,24,5,908,787,0
67480,9,24,6,930,333,1
39157,5,17,3,1038,1979,0
37,5,5,4,650,357,0
1883,8,24,4,1331,229,1
44285,5,19,4,1438,245,0
31820,3,9,3,1140,1035,1
69547,4,14,5,1743,1182,0
43666,11,23,3,1556,205,0
91379,7,2,7,1333,1452,0
22526,3,24,4,1004,417,0
49227,5,16,2,1020,868,0
96207,12,6,3,1824,449,0
91996,1,26,3,704,399,0
97644,6,2,4,914,1155,0
47726,3,30,4,1355,491,0
19457,5,12,5,1638,629,0
56440,10,3,2,1230,443,0
76286,12,2,5,1153,540,0
75004,3,26,7,752,481,0
38309,5,9,2,655,505,0
82268,12,20,3,644,1262,0
40779,11,28,2,1555,408,0
45732,11,7,2,1935,1024,0
47104,5,29,7,1750,888,0
28838,9,26,1,1344,406,0
2707,1,2,1,1051,326,1
42522,7,19,3,1858,256,1
53687,1,30,7,1150,281,0
85534,9,12,1,2005,411,0
10133,7,31,7,557,318,0
88402,9,11,1,1655,269,0
45482,10,23,7,1646,744,1
67453,11,17,5,1444,980,1
3934,8,10,4,1310,677,0
57049,11,26,6,1322,629,0
47840,5,31,3,700,969,0
92979,8,31,3,1606,246,0
39238,3,30,4,1732,529,0
39292,9,25,1,1153,441,0
38014,7,20,3,1026,173,0
64843,5,3,2,653,809,0
32645,12,8,5,1829,642,0
53902,10,7,5,856,1476,0
77151,1,12,3,1040,229,0
76088,4,14,4,2133,326,1
2179,4,5,3,754,1846,0
90344,1,31,1,1254,887,0
84071,4,26,2,1713,647,0
57312,5,26,4,725,1136,0
50355,5,21,7,1730,984,0
97394,9,14,4,600,156,0
79256,11,3,4,1407,189,0
70373,5,1,7,1905,240,0
80201,10,26,3,638,262,0
73503,3,31,4,657,2342,0
58158,9,17,6,1455,1011,0
37190,1,23,1,1307,1846,1
40544,9,6,2,1657,349,0
35006,5,21,7,2002,229,0
62166,10,19,4,1025,478,0
48641,9,6,3,1540,106,0
89251,8,23,2,1228,213,0
93428,7,29,6,1330,68,0
63928,7,6,3,848,522,0
